epoch,train_loss,val_loss,miou,mpa,dice,recall,precision,fg_iou,bg_iou,fpr,fnr
180,0.2821,0.3086,0.6988,0.8380,0.7307,0.8024,0.6757,0.5782,0.8194,0.1264,0.1976
181,0.2841,0.3077,0.7006,0.8372,0.7316,0.7966,0.6812,0.5794,0.8219,0.1223,0.2034
182,0.2796,0.3053,0.7015,0.8393,0.7334,0.8029,0.6794,0.5814,0.8215,0.1244,0.1971
183,0.2833,0.3049,0.7056,0.8391,0.7361,0.7959,0.6891,0.5852,0.8260,0.1177,0.2041
184,0.2878,0.3063,0.7058,0.8382,0.7359,0.7920,0.6918,0.5848,0.8268,0.1156,0.2080
185,0.2692,0.3056,0.7075,0.8378,0.7369,0.7881,0.6965,0.5862,0.8288,0.1125,0.2119
186,0.2700,0.3069,0.7076,0.8370,0.7368,0.7847,0.6993,0.5857,0.8296,0.1106,0.2153
187,0.2833,0.3005,0.7058,0.8423,0.7379,0.8068,0.6842,0.5871,0.8244,0.1222,0.1932
188,0.2806,0.3006,0.7087,0.8424,0.7401,0.8024,0.6913,0.5899,0.8276,0.1175,0.1976
189,0.2705,0.2998,0.7099,0.8430,0.7411,0.8029,0.6927,0.5915,0.8284,0.1169,0.1971
190,0.2751,0.3030,0.7116,0.8396,0.7408,0.7882,0.7037,0.5910,0.8322,0.1090,0.2118
191,0.2759,0.2974,0.7084,0.8455,0.7413,0.8145,0.6843,0.5916,0.8252,0.1236,0.1855
192,0.2734,0.2949,0.7084,0.8481,0.7425,0.8240,0.6796,0.5930,0.8237,0.1277,0.1760
193,0.2809,0.3042,0.7145,0.8372,0.7421,0.7742,0.7178,0.5922,0.8369,0.0999,0.2258
194,0.2712,0.2937,0.7108,0.8478,0.7441,0.8186,0.6859,0.5948,0.8268,0.1231,0.1814
195,0.2589,0.2944,0.7119,0.8481,0.7452,0.8176,0.6886,0.5960,0.8278,0.1215,0.1824
196,0.2629,0.2956,0.7159,0.8457,0.7469,0.8030,0.7026,0.5984,0.8334,0.1116,0.1970
197,0.2576,0.2972,0.7178,0.8445,0.7477,0.7957,0.7099,0.5995,0.8361,0.1066,0.2043
198,0.2682,0.2979,0.7164,0.8434,0.7461,0.7938,0.7088,0.5974,0.8354,0.1069,0.2062
199,0.2552,0.2956,0.7146,0.8456,0.7459,0.8041,0.6998,0.5969,0.8323,0.1130,0.1959
200,0.2588,0.2936,0.7158,0.8480,0.7478,0.8110,0.6978,0.5994,0.8322,0.1151,0.1890
201,0.2681,0.2978,0.7163,0.8442,0.7465,0.7968,0.7067,0.5978,0.8347,0.1084,0.2032
202,0.2644,0.2905,0.7134,0.8508,0.7472,0.8254,0.6863,0.5990,0.8278,0.1238,0.1746
